Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Response,EHR_Use_Footnote,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
260020,MERCY HOSPITAL ST LOUIS,615 S NEW BALLAS RD ,SAINT LOUIS,MO,63141,Not Available,0.24,91.72,15869.0,nan,0.08,29.5,15869,nan,nan,Not Available,Not Available,1.0,62.86,413,657,nan,47.79,314,657,nan,99.15,351,354,nan,96.31,339,352,nan,Tobacco Use Treatment (during the hospital stay),77.06,131,170,nan,63.53,108,170,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,63.17,235,372,nan,34.68,129,372,nan,07/01/2014,06/30/2015,99.32,147,148,nan,93,106,114,nan,10/01/2015,03/31/2016
260023,MERCY HOSPITAL JEFFERSON,1400 US HIGHWAY 61 ,CRYSTAL CITY,MO,63019,Jefferson,0.28,46.27,6925.0,nan,0.0,0,6925,nan,nan,Not Available,Not Available,1.0,61.08,204,334,nan,49.40,165,334,nan,88.99,283,318,nan,97.48,309,317,nan,Tobacco Use Treatment (during the hospital stay),89.04,195,219,nan,74.43,163,219,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,47.40,82,173,nan,30.64,53,173,nan,07/01/2014,06/30/2015,86.36,133,154,nan,97,193,199,nan,10/01/2015,03/31/2016
260027,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD ,KANSAS CITY,MO,64132,Jackson,0.01,7.47,29433.0,nan,0.0,0,29433,nan,95.0,19,20,nan,99.13,799,806,nan,99.13,799,806,nan,98.72,538,545,nan,99.82,545,546,nan,Tobacco Use Treatment (during the hospital stay),80.08,193,241,nan,51.04,123,241,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,60.68,196,323,nan,30.96,100,323,nan,07/01/2014,06/30/2015,98.71,384,389,nan,71,251,352,nan,10/01/2015,03/31/2016
260032,BARNES JEWISH HOSPITAL,1 BARNES HOSPITAL PLAZA ,SAINT LOUIS,MO,63110,Not Available,0.03,7.93,12837.0,nan,0.0,.63,12837,nan,nan,Not Available,Not Available,1.0,91.26,491,538,nan,84.76,456,538,nan,98.23,445,453,nan,100.00,453,453,nan,Tobacco Use Treatment (during the hospital stay),84.82,218,257,nan,60.31,155,257,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,50.50,102,202,nan,22.77,46,202,nan,07/01/2014,06/30/2015,99.01,299,302,nan,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
260040,COX MEDICAL CENTERS,1423 NORTH JEFFERSON AVENUE ,SPRINGFIELD,MO,65802,Greene,0.21,19.78,3932.0,nan,0.42,39.75,3932,nan,nan,Not Available,Not Available,1.0,66.84,391,585,nan,16.24,95,585,nan,99.78,447,448,nan,99.78,447,448,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,283,nan,0.00,0,283,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,60.92,53,87,nan,32.18,28,87,nan,07/01/2014,06/30/2015,98.53,268,272,nan,100,98,98,nan,10/01/2015,03/31/2016
260050,SSM ST FRANCIS HOSPITAL & HEALTH SERVICES,2016 S MAIN ST ,MARYVILLE,MO,64468,Not Available,0.27,20.0,3123.0,nan,0.0,0,3123,nan,nan,Not Available,Not Available,1.0,87.57,472,539,nan,85.16,459,539,nan,100.00,390,390,nan,100.00,390,390,nan,Tobacco Use Treatment (during the hospital stay),79.63,172,216,nan,50.93,110,216,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,86.67,39,45,nan,53.33,24,45,nan,07/01/2014,06/30/2015,99.25,263,265,nan,91,32,35,nan,10/01/2015,03/31/2016
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN ST PO BOX 557,CAMERON,MO,64429,Not Available,nan,0.0,0.0,7.0,nan,0,0,7.0,nan,Not Available,Not Available,1.0,67.14,141,210,nan,67.14,141,210,nan,Not Available,Not Available,Not Available,1.0,82.72,67,81,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,61.11,11,18,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,50.55,46,91,nan,100,28,28,nan,10/01/2015,03/31/2016
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST ,NEVADA,MO,64772,Not Available,0.76,22.9,1259.0,nan,0.0,0,1259,nan,nan,Not Available,Not Available,1.0,99.12,339,342,nan,81.29,278,342,nan,99.27,410,413,nan,85.40,351,411,nan,Tobacco Use Treatment (during the hospital stay),18.60,40,215,nan,15.35,33,215,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,55.64,74,133,nan,32.33,43,133,nan,07/01/2014,06/30/2015,99.72,356,357,nan,98,58,59,nan,10/01/2015,03/31/2016
260062,SAINT LUKES NORTHLAND HOSPITAL,5830 N W BARRY ROAD ,KANSAS CITY,MO,64154,Platte,0.57,16.08,1180.0,nan,0.0,0,1180,nan,nan,Not Available,Not Available,1.0,62.13,105,169,nan,60.95,103,169,nan,100.00,143,143,nan,99.30,142,143,nan,Tobacco Use Treatment (during the hospital stay),66.67,36,54,nan,48.15,26,54,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,63.85,83,130,nan,36.92,48,130,nan,07/01/2014,06/30/2015,67.90,55,81,nan,92,1364,1481,nan,10/01/2015,03/31/2016
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,PO BOX 489 HWY 61 AND EAST REED,HAYTI,MO,63851,Not Available,0.0,0.0,6755.0,nan,0.0,0,6755,nan,9.27,23,248,nan,51.89,741,1428,nan,40.90,584,1428,nan,80.95,1156,1428,nan,45.87,655,1428,nan,Tobacco Use Treatment (during the hospital stay),91.96,263,286,nan,6.64,19,286,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,53.44,70,131,nan,16.03,21,131,nan,07/01/2014,06/30/2015,23.08,66,286,nan,27,16,60,nan,10/01/2015,03/31/2016
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE ,MOBERLY,MO,65270,Not Available,0.0,0.08,2592.0,nan,0.12,7.17,2592,nan,nan,Not Available,Not Available,1.0,100.00,262,262,nan,100.00,262,262,nan,100.00,251,251,nan,100.00,251,251,nan,Tobacco Use Treatment (during the hospital stay),100.00,69,69,nan,59.42,41,69,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,53.49,23,43,nan,34.88,15,43,nan,07/01/2014,06/30/2015,100.00,111,111,nan,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
260077,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY RD ,SAINT LOUIS,MO,63128,Not Available,0.11,47.32,18636.0,nan,0.07,31.05,18636,nan,nan,Not Available,Not Available,1.0,27.10,239,882,nan,18.71,165,882,nan,93.69,371,396,nan,79.75,319,400,nan,Tobacco Use Treatment (during the hospital stay),72.06,147,204,nan,56.86,116,204,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,53.08,155,292,nan,26.37,77,292,nan,07/01/2014,06/30/2015,93.07,336,361,nan,98,397,405,nan,10/01/2015,03/31/2016
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD ,RICHMOND HEIGHTS,MO,63117,Not Available,0.02,13.06,24854.0,nan,0.02,12.5,24854,nan,nan,Not Available,Not Available,1.0,85.58,457,534,nan,79.40,424,534,nan,99.76,422,423,nan,99.76,421,422,nan,Tobacco Use Treatment (during the hospital stay),43.68,76,174,nan,27.59,48,174,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,40.28,85,211,nan,17.06,36,211,nan,07/01/2014,06/30/2015,98.97,289,292,nan,92,82,89,nan,10/01/2015,03/31/2016
260104,SSM DEPAUL HEALTH CENTER,12303 DEPAUL DR ,BRIDGETON,MO,63044,Not Available,0.15,33.7,9188.0,nan,0.0,1.1,9188,nan,43.33,39,90,nan,91.38,562,615,nan,84.72,521,615,nan,100.00,405,405,nan,100.00,405,405,nan,Tobacco Use Treatment (during the hospital stay),90.45,199,220,nan,70.45,155,220,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,45.99,63,137,nan,20.44,28,137,nan,07/01/2014,06/30/2015,82.06,366,446,nan,91,203,224,nan,10/01/2015,03/31/2016
260105,ST LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE PO BOX 15250,SAINT LOUIS,MO,63110,Not Available,0.28,49.47,7476.0,nan,0.46,82,7476,nan,nan,Not Available,Not Available,1.0,86.42,713,825,nan,52.73,435,825,nan,86.12,335,389,nan,95.72,380,397,nan,Tobacco Use Treatment (during the hospital stay),74.88,158,211,nan,38.39,81,211,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,48.53,66,136,nan,19.12,26,136,nan,07/01/2014,06/30/2015,76.57,183,239,nan,98,173,176,nan,10/01/2015,03/31/2016
260110,SOUTHEASTHEALTH,1701 LACEY ST ,CAPE GIRARDEAU,MO,63701,Not Available,0.08,5.42,2937.0,nan,0.04,2.77,2937,nan,nan,Not Available,Not Available,1.0,98.95,189,191,nan,94.24,180,191,nan,93.73,254,271,nan,100.00,273,273,nan,Tobacco Use Treatment (during the hospital stay),88.33,159,180,nan,78.89,142,180,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,64.71,55,85,nan,30.59,26,85,nan,07/01/2014,06/30/2015,98.82,334,338,nan,100,36,36,nan,10/01/2015,03/31/2016
260113,MISSOURI DELTA MEDICAL CENTER,1008 NORTH MAIN ST ,SIKESTON,MO,63801,Scott,0.0,0.0,4017.0,nan,0.0,0,4017,nan,60.0,24,40,nan,97.12,439,452,nan,93.81,424,452,nan,100.00,410,410,nan,100.00,404,404,nan,Tobacco Use Treatment (during the hospital stay),93.02,80,86,nan,61.63,53,86,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,72.55,37,51,nan,35.29,18,51,nan,07/01/2014,06/30/2015,90.05,199,221,nan,100,18,18,nan,10/01/2015,03/31/2016
260137,FREEMAN HEALTH SYSTEM-FREEMAN WEST,1102 W 32ND ST ,JOPLIN,MO,64804,Not Available,0.0,0.25,2566.0,nan,0.37,23,2566,nan,nan,Not Available,Not Available,1.0,75.00,219,292,nan,74.66,218,292,nan,96.68,262,271,nan,100.00,266,266,nan,Tobacco Use Treatment (during the hospital stay),54.55,30,55,nan,21.82,12,55,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,48.00,12,25,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,99.28,137,138,nan,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
260141,UNIVERSITY OF MISSOURI HOSPITAL & CLINICS,1 HOSPITAL DR RM CE121 DC 031.00,COLUMBIA,MO,65201,Not Available,2.72,1148.45,17607.0,nan,0.63,265.57,17607,nan,41.56,64,154,nan,3.42,104,3044,nan,3.25,99,3044,nan,97.68,1850,1894,nan,96.33,2179,2262,nan,Tobacco Use Treatment (during the hospital stay),86.34,1207,1398,nan,61.16,855,1398,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,60.57,149,246,nan,27.24,67,246,nan,07/01/2014,06/30/2015,100.00,3104,3104,nan,99,78,79,nan,10/01/2015,03/31/2016
260142,FITZGIBBON MEMORIAL HOSPITAL,PO BOX 250 2305 S 65 HIGHWAY,MARSHALL,MO,65340,Not Available,0.4,18.7,1932.0,nan,0.0,0,1932,nan,nan,Not Available,Not Available,1.0,73.19,273,373,nan,23.59,88,373,nan,92.31,252,273,nan,95.98,215,224,nan,Tobacco Use Treatment (during the hospital stay),78.23,97,124,nan,31.45,39,124,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,63.89,46,72,nan,38.89,28,72,nan,07/01/2014,06/30/2015,87.00,87,100,nan,100,26,26,nan,10/01/2015,03/31/2016
260163,PARKLAND HEALTH CENTER,1101 W LIBERTY ST ,FARMINGTON,MO,63640,Not Available,0.0,0.0,1491.0,nan,0.0,0,1491,nan,nan,Not Available,Not Available,1.0,53.85,105,195,nan,40.00,78,195,nan,89.33,159,178,nan,99.44,177,178,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,45.45,25,55,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,91.13,113,124,nan,81,492,606,nan,10/01/2015,03/31/2016
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND AVE ,BOLIVAR,MO,65613,Not Available,0.0,0.0,2734.0,nan,0.09,5.95,2734,nan,nan,Not Available,Not Available,1.0,96.81,395,408,nan,91.67,374,408,nan,98.73,310,314,nan,96.81,303,313,nan,Tobacco Use Treatment (during the hospital stay),73.33,66,90,nan,46.67,42,90,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,53.57,30,56,nan,25.00,14,56,nan,07/01/2014,06/30/2015,97.91,187,191,nan,87,34,39,nan,10/01/2015,03/31/2016
260209,FULTON MEDICAL CENTER LLC,10 S HOSPITAL DR ,FULTON,MO,65251,Not Available,0.01,1.5,4261.0,nan,0.0,0,4261,nan,0.0,0,22,nan,0.00,0,276,nan,0.00,0,276,nan,85.90,134,156,nan,88.72,173,195,nan,Tobacco Use Treatment (during the hospital stay),48.48,16,33,nan,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,80.00,28,35,nan,31.43,11,35,nan,07/01/2014,06/30/2015,66.41,85,128,nan,90,26,29,nan,10/01/2015,03/31/2016
260210,ST ALEXIUS HOSPITAL,3933 S BROADWAY ,SAINT LOUIS,MO,63118,Not Available,0.1,21.18,8569.0,nan,1.05,216.91,8569,nan,14.62,19,130,nan,0.00,0,554,nan,0.00,0,554,nan,90.14,457,507,nan,81.42,412,506,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,106,nan,0.00,0,106,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,43.33,26,60,nan,20.00,12,60,nan,07/01/2014,06/30/2015,96.51,221,229,nan,87,124,143,nan,10/01/2015,03/31/2016
261305,PUTNAM COUNTY MEMORIAL HOSPITAL,1926 OAK STREET PO BOX 389,UNIONVILLE,MO,63565,Not Available,0.16,5.3,1365.0,nan,0.0,0,1365,nan,100.0,36,36,nan,100.00,235,235,nan,89.36,210,235,nan,100.00,235,235,nan,100.00,235,235,nan,Tobacco Use Treatment (during the hospital stay),100.00,85,85,nan,100.00,85,85,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,70.83,17,24,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,20.00,22,110,nan,72,28,39,nan,10/01/2015,03/31/2016
261324,CASS MEDICAL CENTER,CASS REGIONAL MEDICAL CENTER 2800 E ROCK HAVEN RD,HARRISONVILLE,MO,64701,Not Available,0.0,0.12,2483.0,nan,0.0,0,2483,nan,nan,Not Available,Not Available,1.0,69.57,96,138,nan,63.04,87,138,nan,98.98,97,98,nan,92.59,75,81,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,82.76,24,29,nan,94,530,564,nan,10/01/2015,03/31/2016
261337,MISSOURI BAPTIST SULLIVAN HOSPITAL,751 SAPPINGTON BRIDGE RD ,SULLIVAN,MO,63080,Not Available,0.0,0.0,2645.0,nan,0.0,0,2645,nan,nan,Not Available,Not Available,1.0,88.37,266,301,nan,79.40,239,301,nan,93.55,290,310,nan,75.81,235,310,nan,Tobacco Use Treatment (during the hospital stay),18.00,18,100,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,54.05,20,37,nan,32.43,12,37,nan,07/01/2014,06/30/2015,81.29,139,171,nan,85,406,478,nan,10/01/2015,03/31/2016
264004,FULTON STATE HOSPITAL,600 E 5TH ST ,FULTON,MO,65251,Callaway,1.61,209.87,5442.0,nan,0.09,11.58,5442,nan,nan,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Yes,nan,Non-Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,7.0,100,1278,1278,nan,10/01/2015,03/31/2016
264005,SOUTHEAST MISSOURI MENTAL HLTH CTR,1010 WEST COLUMBIA STREET ,FARMINGTON,MO,63640,Saint Francois,0.14,114.0,33739.0,nan,0.01,4.5,33739,nan,nan,Not Available,Not Available,1.0,100.00,12,12,nan,100.00,12,12,nan,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,7.0,99,931,941,nan,10/01/2015,03/31/2016
264007,NORTHWEST MO PSYCHIATRIC REHAB CTR,3505 FREDERICK AVE ,SAINT JOSEPH,MO,64506,Not Available,0.65,110.37,7038.0,nan,0.6,101.35,7038,nan,nan,Not Available,Not Available,1.0,91.67,11,12,nan,91.67,11,12,nan,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Yes,nan,Non-Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,1.0,100,413,413,nan,10/01/2015,03/31/2016
264008,CENTER FOR BEHAVIORAL MEDICINE,1000 E 24TH STREET ,KANSAS CITY,MO,64108,Jackson,0.09,48.42,23424.0,nan,0.02,9.97,23424,nan,nan,Not Available,Not Available,1.0,100.00,50,50,nan,100.00,50,50,nan,100.00,15,15,nan,93.33,14,15,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,1.0,99,483,487,nan,10/01/2015,03/31/2016
264010,ST LOUIS PSYCHIATRIC REHAB CENTER,5400 ARSENAL ST ,SAINT LOUIS,MO,63139,Saint Louis City,0.12,24.85,8678.0,nan,0.0,0,8678,nan,nan,0,0,7.0,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,7.0,99,655,659,nan,10/01/2015,03/31/2016
264012,CENTERPOINTE HOSPITAL,4801 WELDON SPRING PARKWAY ,SAINT CHARLES ,MO,63304,Not Available,0.28,202.8,30147.0,nan,0.07,50.3,30147,nan,84.31,129,153,nan,95.26,1166,1224,nan,87.99,1077,1224,nan,90.73,421,464,nan,42.24,196,464,nan,Tobacco Use Treatment (during the hospital stay),95.70,89,93,nan,45.16,42,93,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,71.84,250,348,nan,50.86,177,348,nan,07/01/2014,06/30/2015,60.93,262,430,nan,87,539,620,nan,10/01/2015,03/31/2016
264017,TWO RIVERS BEHAVIORAL HEALTH SYSTEM,5121 RAYTOWN ROAD ,KANSAS CITY,MO,64133,Jackson,0.08,33.83,17179.0,nan,0.02,8.57,17179,nan,nan,Not Available,Not Available,1.0,96.08,1006,1047,nan,92.84,972,1047,nan,98.55,272,276,nan,87.10,243,279,nan,Tobacco Use Treatment (during the hospital stay),69.66,101,145,nan,8.28,12,145,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,61.26,204,333,nan,32.13,107,333,nan,07/01/2014,06/30/2015,86.38,298,345,nan,85,221,261,nan,10/01/2015,03/31/2016
264018,CRITTENTON CHILDREN'S CENTER,10918 ELM AVE ,KANSAS CITY,MO,64134,Not Available,0.01,13.05,40419.0,nan,0.18,173.1,40419,nan,100.0,19,19,nan,98.57,2270,2303,nan,97.79,2252,2303,nan,93.75,15,16,nan,100.00,16,16,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,98.87,1138,1151,nan,99,411,416,nan,10/01/2015,03/31/2016
264020,ROYAL OAKS HOSPITAL,307 N MAIN ST ,WINDSOR,MO,65360,Not Available,0.74,175.85,9948.0,nan,0.14,34.22,9948,nan,nan,Not Available,Not Available,1.0,99.57,468,470,nan,92.98,437,470,nan,92.68,291,314,nan,99.68,313,314,nan,Tobacco Use Treatment (during the hospital stay),80.93,174,215,nan,54.88,118,215,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,55.26,21,38,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,95.75,338,353,nan,99,225,227,nan,10/01/2015,03/31/2016
264024,LAKELAND BEHAVIORAL HEALTH SYSTEM,440 S MARKET ,SPRINGFIELD,MO,65806,Greene,0.09,87.72,39165.0,nan,0.89,834.32,39165,nan,nan,Not Available,Not Available,1.0,99.31,577,581,nan,98.28,571,581,nan,92.68,38,41,nan,98.39,61,62,nan,Tobacco Use Treatment (during the hospital stay),100.00,13,13,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,91.08,245,269,nan,64,264,413,nan,10/01/2015,03/31/2016
264025,METROPOLITAN ST LOUIS PSYCHIATRIC CTR,5351 DELMAR BLVD ,SAINT LOUIS,MO,63112,Not Available,0.49,213.38,17972.0,nan,0.04,18.7,17972,nan,nan,Not Available,Not Available,1.0,95.83,69,72,nan,95.83,69,72,nan,84.21,16,19,nan,66.67,12,18,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,1.0,100,301,301,nan,10/01/2015,03/31/2016
264030,SIGNATURE PSYCHIATRIC HOSPITAL,2900 CLAY EDWARDS DRIVE ,NORTH KANSAS CITY,MO,64116,Clay,0.01,1.43,7284.0,nan,0.01,1.83,7284,nan,nan,Not Available,Not Available,1.0,97.49,311,319,nan,91.22,291,319,nan,99.20,496,500,nan,96.00,480,500,nan,Tobacco Use Treatment (during the hospital stay),11.11,32,288,nan,11.11,32,288,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,59.70,40,67,nan,32.84,22,67,nan,07/01/2014,06/30/2015,5.88,18,306,nan,82,108,132,nan,10/01/2015,03/31/2016
264031,OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,840 PASSOVER RD ,OSAGE BEACH,MO,65065,Camden,0.01,0.43,1962.0,nan,0.0,0,1962,nan,nan,Not Available,Not Available,1.0,98.25,112,114,nan,95.61,109,114,nan,100.00,208,208,nan,100.00,208,208,nan,Tobacco Use Treatment (during the hospital stay),100.00,54,54,nan,94.44,51,54,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,100.00,106,106,nan,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
270003,ST PETER'S HOSPITAL,2475 BROADWAY ,HELENA,MT,59601,Lewis and Clark,0.0,0.03,6545.0,nan,0.0,.77,6545,nan,nan,Not Available,Not Available,1.0,83.38,326,391,nan,77.49,303,391,nan,99.26,405,408,nan,97.79,399,408,nan,Tobacco Use Treatment (during the hospital stay),87.02,114,131,nan,82.44,108,131,nan,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,63.49,40,63,nan,33.33,21,63,nan,07/01/2014,06/30/2015,92.34,229,248,nan,84,48,57,nan,10/01/2015,03/31/2016
